0,0
0,4
0,9
0,16
0,23
0,41
0,93
0,104
1,1
1,25
1,33
1,37
1,45
1,89
1,103
1,105
1,109
2,2
2,6
2,13
2,15
2,32
2,39
2,47
2,60
2,64
2,100
2,106
3,3
3,5
3,10
3,40
3,52
3,72
3,74
3,81
3,84
3,98
3,102
3,107
4,7
4,8
4,21
4,22
4,51
4,68
4,77
4,78
4,108
4,111
5,11
5,24
5,28
5,50
5,69
5,90
6,12
6,14
6,18
6,26
6,31
6,34
6,36
6,38
6,42
6,43
6,54
6,61
6,71
6,85
6,99
7,17
7,20
7,27
7,56
7,58
7,59
7,62
7,63
7,65
7,70
7,76
7,87
7,95
7,96
7,97
7,113
8,19
8,29
8,30
8,35
8,55
8,79
8,80
8,82
8,94
8,101
9,44
9,48
9,57
9,66
9,75
9,86
9,91
9,92
9,112
10,46
10,49
10,53
10,67
10,73
10,83
10,88
10,110
10,114
