0,3
0,5
0,10
0,40
0,52
0,72
0,74
0,81
0,84
0,98
0,102
0,107
1,2
1,6
1,13
1,15
1,32
1,39
1,47
1,60
1,64
1,100
1,106
2,1
2,25
2,33
2,37
2,45
2,89
2,103
2,105
2,109
3,12
3,14
3,18
3,26
3,31
3,34
3,36
3,38
3,42
3,43
3,54
3,61
3,71
3,85
3,99
4,46
4,49
4,53
4,67
4,73
4,83
4,88
4,110
4,114
5,0
5,4
5,9
5,11
5,16
5,23
5,24
5,28
5,41
5,50
5,69
5,90
5,93
5,104
6,19
6,29
6,30
6,35
6,55
6,79
6,80
6,82
6,94
6,101
7,17
7,20
7,27
7,56
7,58
7,59
7,62
7,63
7,65
7,70
7,76
7,87
7,95
7,96
7,97
7,113
8,44
8,48
8,57
8,66
8,75
8,86
8,91
8,92
8,112
9,7
9,8
9,21
9,22
9,51
9,68
9,77
9,78
9,108
9,111
