0,0
4,0
9,0
16,0
23,0
41,0
93,0
104,0
1,1
25,1
33,1
37,1
45,1
89,1
103,1
105,1
109,1
2,2
6,2
13,2
15,2
32,2
39,2
47,2
60,2
64,2
100,2
106,2
3,3
5,3
10,3
40,3
52,3
58,3
72,3
74,3
81,3
84,3
97,3
98,3
102,3
107,3
7,4
8,4
21,4
22,4
51,4
68,4
77,4
78,4
108,4
111,4
11,5
17,5
20,5
24,5
27,5
28,5
50,5
56,5
62,5
65,5
69,5
70,5
76,5
87,5
90,5
95,5
96,5
113,5
12,6
14,6
18,6
26,6
31,6
34,6
36,6
38,6
42,6
43,6
54,6
61,6
71,6
85,6
99,6
19,7
29,7
30,7
35,7
55,7
79,7
80,7
82,7
94,7
101,7
44,8
48,8
57,8
59,8
63,8
66,8
75,8
86,8
91,8
92,8
112,8
46,9
49,9
53,9
67,9
73,9
83,9
88,9
110,9
114,9
