Node,Vertex Degree,Eigen Vector Centrality,Vertex Betweenness,Closeness Centrality,Pagerank,Local Clustering Co-efficient
0,6,0.406936368860012,34.92115107115108,0.3465909090909091,0.016965391725109576,0.3333333333333333
1,8,0.1332439238141531,390.38371702504406,0.3719512195121951,0.024650716849295796,0.14285714285714285
2,4,0.12590017786163218,16.60324675324675,0.2824074074074074,0.013338079741907377,0.16666666666666666
3,3,0.25123199608427194,4.344047619047619,0.30808080808080807,0.009629062093473065,0.3333333333333333
4,1,0.0927453617090805,0.0,0.24897959183673468,0.005079800175604351,nan
5,4,0.020771412599125492,8.015949328449329,0.23828125,0.014428047632488658,0.5
6,6,0.038606459329318464,53.75174224826663,0.2675438596491228,0.020053629299507592,0.5333333333333333
7,5,0.13585597639542774,216.37667326297165,0.3652694610778443,0.015643030468627007,0.2
8,6,0.45316627376620355,40.9292998050889,0.3630952380952381,0.01709830084355091,0.26666666666666666
9,7,0.038625862031933154,38.23671606171606,0.25206611570247933,0.0234584793438354,0.5238095238095238
10,5,0.23830766685359306,29.448398268398275,0.3128205128205128,0.015108397537453263,0.4
11,1,0.09274536170908045,0.0,0.24897959183673468,0.005079800175604351,nan
12,1,0.12374371620939872,0.0,0.2687224669603524,0.004835315766005184,nan
13,8,0.04751586069055177,96.70878104280547,0.27111111111111114,0.02615687597843938,0.5
14,12,1.0,113.40876887340302,0.3765432098765432,0.03214449277924283,0.25757575757575757
15,7,0.5199009564122126,60.92476439748677,0.3388888888888889,0.01988308132262842,0.23809523809523808
16,6,0.6586623048230986,6.0476190476190474,0.32972972972972975,0.016626816408350325,0.6
17,9,0.05545722451729406,209.1692981353096,0.3096446700507614,0.03172814041038731,0.2222222222222222
18,7,0.64124665046439,27.184466482027464,0.3370165745856354,0.01939555066603906,0.5238095238095238
19,4,0.0654715119344673,24.365341325341323,0.3160621761658031,0.012928199949535302,0.5
20,9,0.5841906510946032,187.8417036892647,0.391025641025641,0.024640918846873937,0.1388888888888889
21,6,0.6566265448624201,23.24219669219669,0.3333333333333333,0.016938990082180964,0.5333333333333333
22,1,0.007709229936265138,0.0,0.23735408560311283,0.005415901433024035,nan
23,3,0.27665258594526954,77.19449771892381,0.3333333333333333,0.009863497611071179,0.3333333333333333
24,6,0.6118558107805787,13.510969585969589,0.3128205128205128,0.016905755995282105,0.5333333333333333
25,3,0.01882955464311669,3.008730158730159,0.25523012552301255,0.011504222919285061,0.6666666666666666
26,3,0.02832313087832382,7.9833333333333325,0.2772727272727273,0.011210138818705829,0.6666666666666666
27,5,0.05167219278844596,53.50345470247911,0.3160621761658031,0.017130091103692385,0.4
28,5,0.21604562416225362,122.16522703504052,0.3652694610778443,0.014845738594652352,0.3
