0,0
4,0
7,0
8,0
9,0
16,0
21,0
22,0
23,0
41,0
51,0
68,0
77,0
78,0
93,0
104,0
108,0
111,0
1,1
25,1
33,1
37,1
45,1
89,1
103,1
105,1
109,1
2,2
6,2
13,2
15,2
32,2
39,2
47,2
60,2
64,2
100,2
106,2
3,3
5,3
10,3
40,3
52,3
72,3
74,3
81,3
82,3
84,3
98,3
102,3
107,3
11,4
24,4
28,4
50,4
69,4
90,4
12,5
14,5
18,5
26,5
31,5
34,5
36,5
38,5
42,5
43,5
54,5
61,5
71,5
85,5
99,5
17,6
20,6
27,6
56,6
58,6
59,6
62,6
63,6
65,6
70,6
76,6
87,6
95,6
96,6
97,6
113,6
19,7
29,7
30,7
35,7
55,7
79,7
80,7
94,7
101,7
44,8
48,8
57,8
66,8
75,8
86,8
91,8
92,8
112,8
46,9
49,9
53,9
67,9
73,9
83,9
88,9
110,9
114,9
