Node,Vertex Degree,Eigen Vector Centrality,Vertex Betweenness,Closeness Centrality,Pagerank,Local Clustering Co-efficient
0,7,1.0,56.66666666666666,0.65,0.13051489535281546,0.23809523809523808
1,3,0.31470221617231214,30.0,0.5,0.06753130438998958,0.3333333333333333
2,3,0.41768742007702003,9.0,0.48148148148148145,0.06212480654302878,0.3333333333333333
3,4,0.4694963134489816,18.5,0.5,0.08153654712137871,0.3333333333333333
4,2,0.20638430477735067,0.0,0.3611111111111111,0.04567468371376457,1.0
5,4,0.3526498179617733,1.8333333333333333,0.38235294117647056,0.0829829728761688,0.5
6,3,0.311236866278698,0.3333333333333333,0.37142857142857144,0.06327671223428938,0.6666666666666666
7,2,0.06367104678250157,0.0,0.2826086956521739,0.051683067097147706,1.0
8,3,0.12681900605663585,5.5,0.37142857142857144,0.07229784949916819,0.6666666666666666
9,3,0.12681900605663596,5.5,0.37142857142857144,0.07229784949916822,0.6666666666666666
10,4,0.7588302811247217,0.3333333333333333,0.4482758620689655,0.07612430373993881,0.8333333333333334
11,3,0.6320112750680857,0.0,0.43333333333333335,0.05891535209660158,1.0
12,3,0.6320112750680859,0.0,0.43333333333333335,0.05891535209660158,1.0
13,4,0.7588302811247218,0.3333333333333333,0.4482758620689655,0.0761243037399388,0.8333333333333334
